genes	cluster
A2M	1
A2ML1	2
A4GALT	3
AAMDC	4
AASDH	4
AASS	5
ABCA10	6
ABCA13	7
ABCA6	8
ABCA8	3
ABCA9	9
ABCB1	2
ABCC3	5
ABCC5	6
ABHD12	2
ABI3	10
ABI3BP	11
ABLIM1	6
ABLIM2	12
ABO	6
ACACB	6
ACADS	5
ACBD6	6
ACE	3
ACKR3	9
ACKR4	6
ACO2	5
ACOT13	4
ACOT7	5
ACOX2	9
ACP2	10
ACTA1	13
ACTC1	12
ACTN2	13
ACTN3	13
ACTN4	5
ACTRT3	2
ACVR1	8
ACVR1C	14
ACVRL1	13
ADAM12	6
ADAM23	14
ADAMTS1	1
ADAMTS14	2
ADAMTS4	11
ADAMTS5	9
ADAMTS9	12
ADCY9	2
ADGRA3	6
ADGRB1	5
ADGRD1	11
ADGRF5	14
ADGRG1	2
ADGRG5	2
ADGRG6	1
ADGRV1	6
ADH1B	9
ADH1C	10
ADIPOR1	5
ADM	5
ADM5	15
ADPRHL1	6
AEBP1	6
AFAP1L1	6
AFF2	7
AFMID	10
AGAP1	2
AGAP3	5
AGBL2	6
AGPAT4	5
AGT	16
AGXT	5
AHNAK2	1
AHRR	6
AIF1L	12
AJUBA	6
AK1	5
AK4	5
AKAP12	9
AKAP3	6
AKAP5	17
AKNA	2
AKR1C1	13
AKR1C2	3
AKR1C3	10
AKR7A3	10
AKTIP	6
ALB	5
ALDH4A1	16
ALDH5A1	9
ALDH6A1	5
ALDOB	5
ALG6	6
ALPK3	6
AMBP	5
AMN	6
AMOTL2	1
ANAPC7	6
ANGPT1	6
ANGPTL2	13
ANGPTL4	3
ANKH	5
ANKRD2	19
ANKRD24	12
ANKRD34B	6
ANKRD36	17
ANKRD36C	17
ANKRD37	2
ANKRD9	5
ANOS1	6
ANTXR1	1
ANXA2	9
AOC3	6
AOX1	9
AP2A1	5
AP2S1	5
AP3M1	6
AP3M2	14
AP5M1	6
APOA1	7
APOA2	5
APOB	5
APOBEC2	4
APOBEC3C	5
APOBEC3H	2
APOC1	10
APOC2	5
APOC3	5
APOD	13
APOE	2
APOH	5
APOL4	16
APOO	19
AQP1	1
AQP7	11
AREG	5
ARF1	5
ARF6	5
ARG2	5
ARHGAP44	14
ARHGAP8	5
ARHGDIA	5
ARHGEF18	6
ARHGEF25	2
ARHGEF3	2
ARHGEF39	17
ARHGEF4	6
ARHGEF6	6
ARL10	6
ARL4C	2
ARL4D	1
ARMC10	22
ARMC9	6
ARMCX3	5
ARPP21	15
ARVCF	2
ASAP3	9
ASB1	23
ASGR1	5
ASGR2	9
ASIC1	6
ASPDH	5
ASS1	9
ASTE1	6
ASTL	2
ATF3	5
ATF5	10
ATG9B	6
ATP1A1	10
ATP1A3	2
ATP1B1	11
ATP1B2	16
ATP1B3	2
ATP2A1	19
ATP6AP1	16
ATP6V0C	5
ATP6V1C2	5
ATP6V1D	22
ATP6V1E2	6
ATP8B1	9
ATPAF1	4
AUTS2	2
AVIL	6
AVPI1	5
AVPR1A	24
AXL	3
AZGP1	5
AZU1	7
B3GALT2	6
B3GAT1	2
B3GNT7	2
B9D1	8
BACE2	13
BACH2	6
BAG6	5
BAIAP3	15
BANK1	6
BATF3	10
BAZ2A	2
BBS1	6
BBS10	6
BBS5	12
BCAM	5
BCAR1	13
BCAS1	12
BCDIN3D	6
BCL6B	19
BEND5	6
BGN	9
BHLHE40	5
BHMT2	5
BICC1	3
BID	4
BLCAP	4
BLK	6
BMP1	2
BNC2	2
BOC	9
BOK	9
BOLA1	22
BPI	7
BPNT1	6
BRD4	5
BRF2	6
BRICD5	6
BTG3	5
BTLA	6
BTNL9	14
C11orf65	2
C11orf71	4
C11orf95	6
C11orf96	9
C12orf49	6
C12orf65	6
C12orf75	2
C14orf132	14
C15orf40	6
C15orf48	16
C15orf62	6
C15orf65	4
C16orf46	24
C17orf100	6
C17orf107	2
C17orf80	6
C18orf21	4
C1orf115	13
C1orf21	2
C1orf56	15
C1QA	10
C1QB	10
C1QC	10
C1QTNF1	13
C1QTNF6	6
C1R	1
C1S	1
C2	5
C2CD4B	25
C2orf16	6
C2orf49	6
C2orf68	6
C2orf74	22
C2orf88	5
C3	9
C4BPA	23
C5orf58	5
C6orf132	1
C7	9
C8orf44	6
C9orf78	5
CA6	6
CABP1	2
CABP4	2
CACNA2D2	2
CACNB1	2
CACNG6	19
CADM1	14
CADM3	12
CADPS2	1
CALD1	8
CALR	5
CAMK2B	12
CAMK4	6
CAMLG	4
CAMP	25
CAND2	6
CAPN12	6
CAPN13	6
CAPN14	25
CAPN2	5
CAPN5	5
CAPN8	17
CAPS	6
CARD10	9
CARD19	5
CARM1	5
CARMIL1	6
CARMIL3	2
CASC3	5
CASKIN2	11
CASP10	25
CASQ1	12
CASZ1	2
CAV1	11
CAV2	1
CBLB	2
CBX1	6
CBX2	4
CBY1	4
CC2D2A	13
CCDC106	6
CCDC121	6
CCDC124	5
CCDC157	13
CCDC184	6
CCDC187	24
CCDC24	13
CCDC3	12
CCDC30	6
CCDC50	1
CCDC62	6
CCDC80	11
CCDC81	2
CCDC85C	2
CCDC88C	17
CCDC9	5
CCL14	13
