genes	cluster
AASS	1
ABCA10	2
ABCC3	1
ABCC5	2
ABLIM1	2
ABO	2
ACACB	2
ACADS	1
ACBD6	2
ACKR4	2
ACO2	1
ACOT7	1
ACTN4	1
ADAM12	2
ADGRA3	2
ADGRB1	1
ADGRV1	2
ADIPOR1	1
ADM	1
ADPRHL1	2
AEBP1	2
AFAP1L1	2
AGAP3	1
AGBL2	2
AGPAT4	1
AGXT	1
AHRR	2
AJUBA	2
AK1	1
AK4	1
AKAP3	2
AKTIP	2
ALB	1
ALDH6A1	1
ALDOB	1
ALG6	2
ALPK3	2
AMBP	1
AMN	2
ANAPC7	2
ANGPT1	2
ANKH	1
ANKRD34B	2
ANKRD9	1
ANOS1	2
AOC3	2
AP2A1	1
AP2S1	1
AP3M1	2
AP5M1	2
APOA2	1
APOB	1
APOBEC3C	1
APOC2	1
APOC3	1
APOH	1
AREG	1
ARF1	1
ARF6	1
ARG2	1
ARHGAP8	1
ARHGDIA	1
ARHGEF18	2
ARHGEF4	2
ARHGEF6	2
ARL10	2
ARMC9	2
ARMCX3	1
ASGR1	1
ASIC1	2
ASPDH	1
ASTE1	2
ATF3	1
ATG9B	2
ATP6V0C	1
ATP6V1C2	1
ATP6V1E2	2
AVIL	2
AVPI1	1
AZGP1	1
B3GALT2	2
BACH2	2
BAG6	1
BANK1	2
BBS1	2
BBS10	2
BCAM	1
BCDIN3D	2
BEND5	2
BHLHE40	1
BHMT2	1
BLK	2
BPNT1	2
BRD4	1
BRF2	2
BRICD5	2
BTG3	1
BTLA	2
C11orf95	2
C12orf49	2
C12orf65	2
C15orf40	2
C15orf62	2
C17orf100	2
C17orf80	2
C1QTNF6	2
C2	1
C2orf16	2
C2orf49	2
C2orf68	2
C2orf88	1
C5orf58	1
C8orf44	2
C9orf78	1
CA6	2
CALR	1
CAMK4	2
CAND2	2
CAPN12	2
CAPN13	2
CAPN2	1
CAPN5	1
CAPS	2
CARD19	1
CARM1	1
CARMIL1	2
CASC3	1
CBX1	2
CCDC106	2
CCDC121	2
CCDC124	1
CCDC184	2
CCDC30	2
CCDC62	2
CCDC9	1
CCL18	1
CCL3	1
CCL3L3	1
CCL4	1
CCL4L2	1
CCL5	1
CCR7	2
CCR9	2
CCRL2	1
CD244	1
CD248	2
CD300E	1
CD5L	1
CD68	1
CD81	1
CD99	1
CDC34	1
CDC42EP1	1
CDH13	2
CDHR1	1
CDHR5	1
CDK11B	1
CDKN1A	1
CDKN2A	1
CDNF	2
CDO1	1
CEBPB	1
CELSR1	2
CEP162	2
CEP41	2
CEP63	2
CEP97	2
CETP	1
CFAP53	2
