Gene	AveExpr	logFC	P.Value	adj.P.Val	Sig	GeneType
ENSG00000168913	ENHO	0.38	-1.04	3.15e-26	4.7e-22	TRUE	protein_coding
ENSG00000100095	SEZ6L	0.75	-1.75	5.78e-26	4.7e-22	TRUE	protein_coding
ENSG00000255833	TIFAB	0.7	-1.47	6.11e-26	4.7e-22	TRUE	protein_coding
ENSG00000160963	COL26A1	0.19	-0.93	8.3e-26	4.79e-22	TRUE	protein_coding
ENSG00000112053	SLC26A8	4.84	3.1	7.35e-23	3.39e-19	TRUE	protein_coding
ENSG00000163687	DNASE1L3	0.37	-0.95	1.25e-22	4.79e-19	TRUE	protein_coding
ENSG00000005001	PRSS22	0.14	-0.57	2.44e-22	8.05e-19	FALSE	protein_coding
ENSG00000229961	AL357143.1	0.62	-1.52	3.76e-22	1.08e-18	TRUE	transcribed_unprocessed_pseudogene
ENSG00000171101	SIGLEC17P	1.46	-1.78	3.35e-21	8.58e-18	TRUE	transcribed_unprocessed_pseudogene
ENSG00000168079	SCARA5	0.18	-0.69	8.31e-21	1.92e-17	TRUE	protein_coding
ENSG00000152763	WDR78	1.23	-1.36	2.05e-20	4.31e-17	TRUE	protein_coding
ENSG00000225885	AC023590.1	0.2	-0.58	2.63e-20	5.05e-17	FALSE	lncRNA
ENSG00000234797	RPS3AP6	0.9	-0.94	3.19e-20	5.66e-17	TRUE	processed_pseudogene
ENSG00000134419	RPS15A	6.23	-1.52	6.8e-20	1.08e-16	TRUE	protein_coding
ENSG00000282988	AL031777.2	4.61	2.74	7.02e-20	1.08e-16	TRUE	protein_coding
ENSG00000145425	RPS3A	7.2	-1.74	1.62e-19	2.29e-16	TRUE	protein_coding
ENSG00000233392	AC104809.2	1.37	-3.35	1.69e-19	2.29e-16	TRUE	lncRNA
ENSG00000100433	KCNK10	0.23	-0.67	2.48e-19	3.18e-16	TRUE	protein_coding
ENSG00000214389	RPS3AP26	0.83	-0.89	3.17e-19	3.74e-16	TRUE	processed_pseudogene
ENSG00000248473	LINC01962	0.46	-0.78	3.24e-19	3.74e-16	TRUE	lncRNA
ENSG00000236956	NF1P8	0.35	-1.11	6.21e-19	6.82e-16	TRUE	unprocessed_pseudogene
ENSG00000113368	LMNB1	7.33	1.86	6.93e-19	7.26e-16	TRUE	protein_coding
ENSG00000138772	ANXA3	6.59	2.99	8.24e-19	8.26e-16	TRUE	protein_coding
ENSG00000088881	EBF4	0.83	-1.16	9.21e-19	8.85e-16	TRUE	protein_coding
ENSG00000235237	Z82188.2	0.16	-0.38	1.22e-18	1.13e-15	FALSE	lncRNA
ENSG00000123349	PFDN5	6.74	-1.2	1.75e-18	1.55e-15	TRUE	protein_coding
ENSG00000242299	AC073861.1	0.83	-0.82	1.89e-18	1.62e-15	TRUE	processed_pseudogene
ENSG00000112062	MAPK14	9.15	2.02	2.45e-18	2.02e-15	TRUE	protein_coding
ENSG00000179869	ABCA13	4.98	4.1	4.26e-18	3.39e-15	TRUE	protein_coding
ENSG00000257017	HP	4.62	3.76	8.06e-18	6.19e-15	TRUE	protein_coding
ENSG00000186081	KRT5	0.32	-1.01	1.49e-17	1.11e-14	TRUE	protein_coding
ENSG00000122026	RPL21	6.91	-1.7	1.8e-17	1.3e-14	TRUE	protein_coding
