baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TK1	432.065303578993	3.24488733345718	0.192962322553834	16.8161705897373	1.85786198066694e-63	3.3079232565775e-59
PLK1	175.613124546802	3.95330183367195	0.236453194554588	16.7191728625992	9.50289781188206e-63	8.45995477702801e-59
RRM2	772.427323755849	3.83439845335312	0.23867345223443	16.0654585478862	4.45557301993916e-58	2.64438258733389e-54
CCNA2	168.493307626359	3.80555433774048	0.239030482982816	15.9207908976784	4.54594053767024e-57	1.61880942546437e-53
FOXM1	86.2409942933118	3.15950497474778	0.19843873977638	15.9218153587763	4.47210869912946e-57	1.61880942546437e-53
UBE2C	134.916906912077	3.64544502066426	0.231838004298168	15.7241045604233	1.03402335480601e-55	3.06846430538685e-52
HJURP	81.6256070408826	3.28815553606035	0.210132808857992	15.6479873558559	3.42893328915953e-55	8.72173674478364e-52
TPX2	215.838449102666	3.24213100950501	0.207955685291949	15.5904898918892	8.44831868369347e-55	1.88027892703953e-51
AURKB	107.723211252777	3.20533463418603	0.210307747897438	15.2411628493554	1.88485633199092e-52	3.72887411012204e-49
KIF4A	49.7426760731483	3.57265011882958	0.242712134250855	14.7197013031786	4.81783623021138e-49	8.57815740789136e-46
UHRF1	218.216305246356	2.87785139575499	0.196030687580778	14.6806167507275	8.58064235992056e-49	1.3888939747126e-45
MZB1	1534.32893451618	3.50893308382953	0.239404194171193	14.6569407272805	1.21630966674537e-48	1.80469946803345e-45
IGHV1-24	905.524574178717	5.45701607692672	0.372695738301446	14.6420136216126	1.51513625849215e-48	2.07515392941944e-45
SHCBP1	181.330717824849	3.23950972702977	0.221730477117309	14.6101238275687	2.42077590397866e-48	3.07870821216715e-45
CDC20	213.714330525547	3.71566530651294	0.254819925783169	14.5815335872701	3.68152542635517e-48	4.36997068108358e-45
BIRC5	222.64076031673	3.9194099198036	0.26892622969758	14.5742939400562	4.09332741087621e-48	4.55510590941569e-45
PKMYT1	108.661299351831	3.27481450757964	0.227128718768377	14.4183198203097	3.96887002543315e-47	4.15680769428454e-44
IGHV4-59	877.156680838232	3.66480164665099	0.254288023724849	14.4120104162533	4.34865283678277e-47	4.30154243105096e-44
DTL	131.224378340152	3.21003151087191	0.223842274878643	14.3405954599606	1.22004124618326e-46	1.14330707306805e-43
BUB1	216.341003937895	3.15589482653995	0.221185179410275	14.2681116110682	3.4581652489357e-46	3.07863161286501e-43
MKI67	529.107399655266	3.21747017599847	0.229822963293834	13.9997767406944	1.56361157656264e-44	1.32571924384276e-41
KIF20A	63.5930628707576	3.62928571403915	0.271389543977979	13.3729754685524	8.6990123601125e-41	7.04026886690014e-38
GTSE1	50.9954022828322	3.13821127242016	0.234775607895433	13.3668539954026	9.44519305538995e-41	7.3118114065747e-38
H1-5	61.515135496964	3.27663174906706	0.245812690802347	13.3297908190661	1.55332588848901e-40	1.15237364352278e-37
MCM10	90.1267317315148	3.56474113272895	0.269489769280741	13.2277419741875	6.06831816217118e-40	4.32185619509831e-37
CDT1	89.2566417671133	2.79687926489758	0.212214605806682	13.1794852397927	1.1517398554621e-39	7.88720312557793e-37
IFI27	2902.24891190972	8.46119016748185	0.645246029642449	13.1131224041324	2.76956689714576e-39	1.82637550384001e-36
ASPM	76.2559831153395	2.95571668013682	0.226296154216258	13.0612766724803	5.48009802844687e-39	3.48475519273202e-36
CDCA3	63.6407493442485	2.45826745392576	0.189740648591572	12.955934704415	2.17470915753773e-38	1.33519643275722e-35
ZWINT	276.145022418238	2.38904261602105	0.184859444965339	12.9235626368401	3.31432532348132e-38	1.96705207948616e-35
SLC38A5	497.65456090977	1.4239207077315	0.110653865187226	12.8682419301145	6.79307832616366e-38	3.90163740636593e-35
CCNB2	138.606473386451	3.48254098725549	0.271151608119765	12.8435195771263	9.35239317192278e-38	5.20373001331516e-35
PYCR1	74.6678374658401	3.18255884754784	0.248862208298585	12.7884377033632	1.90260194303665e-37	1.02654023017477e-34
GINS2	106.880346111269	2.83978138790851	0.224307727727945	12.6602030909643	9.82448628958491e-37	5.14485230547233e-34
MYBL2	900.157243768863	3.48794549976825	0.275639992087544	12.653989260965	1.06335266872658e-36	5.40942693333624e-34
CACNA2D3	116.304705039128	-2.49519185918118	0.197430101785442	-12.6383557350988	1.29738708190416e-36	6.41666027591764e-34
TRIP13	86.8573055983984	3.16913083428091	0.25113857523945	12.6190523748065	1.65804411925043e-36	7.97877717385243e-34
CDC6	102.738486031285	2.97430439089838	0.236016595466834	12.6020985304668	2.05600425006247e-36	9.63346201904272e-34
CDCA2	61.3104058901418	3.42032063048739	0.272583310573955	12.5477991417946	4.08712403221463e-36	1.86592931778414e-33
CDC45	102.176573028817	3.10514875119092	0.247689973184565	12.5364329902734	4.71756232872224e-36	2.09990493157249e-33
SKA1	48.5000401147258	3.10561197078658	0.248131846172633	12.5159749491644	6.1053585847403e-36	2.65136364881222e-33
CEP55	68.6461441749074	3.60189934958326	0.288977300188679	12.4642985702736	1.1689579968575e-35	4.95554693667803e-33
E2F2	323.104871298841	1.94232298328907	0.156456294819196	12.4144764231676	2.18109004558998e-35	8.82597915039309e-33
PBK	27.2080277071124	4.04742115132682	0.325988530229848	12.4158391354231	2.14426771657585e-35	8.82597915039309e-33
CLSPN	83.2804247913174	2.68225590515192	0.217236713643264	12.3471574402318	5.04631066612297e-35	1.95325133500695e-32
