Mixture	B cells	Monocytes	T cells CD4	T cells CD8	NK cells	Dendritic cells	NK T cells	Megakaryocytes
GTEX-111YS	0.004985349	0.850174491	0.02005647	0.071223955	0.006145989	0	0.017232759	0.030180987
GTEX-1122O	0.005449885	0.850435098	0.102573331	0.01573788	0.002727908	0	0.005269069	0.01780683
GTEX-1128S	0.194050113	0.256671679	0	0.337122424	0.060833864	0.015356406	0.042614624	0.09335089
GTEX-113IC	0.113858188	0.267822554	0.068270668	0.34235151	0.026599253	0.058519529	0.116348425	0.006229872
GTEX-113JC	0.197716035	0.419781051	0.055270394	0.174678067	0.062559068	0	0.01169165	0.078303737
GTEX-117XS	0.230399196	0.13305919	0	0.417505737	0.078626818	0.004696186	0.047779522	0.08793335
GTEX-117YW	0.170275038	0.056073925	0	0.588224425	0.08293819	0.02912841	0.039983559	0.033376454
GTEX-1192W	0.204007102	0.12966762	0	0.365913484	0.089178917	0.059837717	0.092865071	0.058530088
GTEX-1192X	0.098890741	0.357480694	0.018742602	0.196882638	0.122893724	0	0.053937567	0.151172034
GTEX-11DXW	0.309022886	0.153377435	0.059855155	0.296541814	0.040348781	0.071566801	0.045368033	0.023919095
GTEX-11DXX	0.070190142	0.839961383	0.033170532	0.023510915	0.008802499	0	0.003749969	0.020614559
GTEX-11DXY	0.157969477	0.049625597	0	0.554294958	0.126076592	0.025281744	0.048463024	0.038288609
GTEX-11DXZ	0.063850228	0.34713781	0.423132153	0.108044603	0.013473863	0.020802373	0.00037511	0.023183861
GTEX-11DYG	0.258651162	0.045989985	0.042241258	0.39379227	0.151923239	0.046001758	0.006524902	0.054875426
GTEX-11EI6	0.144674399	0.382736422	0	0.350915377	0.09654813	0	0.015846394	0.009279278
GTEX-11EM3	0.008697823	0.794450754	0.122747621	0.043745322	0.002601081	0	0.004071699	0.0236857
GTEX-11EMC	0.133283515	0.47212281	0.040246304	0.161173381	0.047186898	0.045278308	0.028753234	0.071955551
GTEX-11EQ8	0.242259317	0.232689823	0	0.272652426	0.127155573	0.032387179	0.008815423	0.084040259
GTEX-11EQ9	0.007798709	0.777261767	0.107804389	0	0.001557123	0	0.022762961	0.082815051
GTEX-11GS4	0.140977975	0.345871434	0	0.315583951	0.077488864	0.021632301	0.073135386	0.02531009
GTEX-11GSO	0.128146524	0.407702114	0	0.299504793	0.043551275	0.028461313	0.052307349	0.040326631
GTEX-11GSP	0.149755945	0.37669842	0.146273795	0.166348007	0.074644115	0	0.014997037	0.071282681
GTEX-11I78	0	0.748134376	0.187674635	0.053447815	0.005458262	0	0.00108813	0.004196781
GTEX-11LCK	0.072366491	0.853915872	0.013816663	0.038344852	0.006646377	0	0.008635185	0.006274559
GTEX-11NUK	0.318342132	0.035321867	0.009573212	0.322266301	0.146550914	0.088588783	0.014778882	0.064577908
GTEX-11NV4	0.167784482	0.042972459	0	0.363803512	0.207193537	0.020136686	0.195859803	0.002249521
GTEX-11O72	0.096928881	0.612283631	0.005518396	0.13933168	0.09914882	0	0.012605869	0.034182723
GTEX-11OC5	0.242261532	0.325978776	0.034133351	0.216185897	0.07506595	0.012416441	0.086234983	0.00772307
GTEX-11OF3	0.216238755	0.130015326	0	0.34155213	0.122378882	0.027385536	0.066069085	0.096360286
GTEX-11ONC	0.093105032	0.134789561	0	0.559671552	0.065970368	0.003004166	0.048317441	0.095141882
GTEX-11P7K	0.040009875	0.665109523	0.230899478	0.040998734	0.009004065	0	0	0.013978326
GTEX-11P81	0.066367487	0.748266216	0.084860909	0.09098609	0.005299746	0	0	0.004219551
GTEX-11P82	0.017824286	0.734908354	0.135874777	0.060010488	0.003202065	0	0.019583927	0.028596102
GTEX-11PRG	0.333057876	0	0	0.401759554	0.092172193	0.06867688	0.025723517	0.07860998
GTEX-11TT1	0.052091978	0.805065038	0.07704974	0.032388873	0.010226003	0	0	0.023178368
GTEX-11TTK	0.081924118	0.294960497	0	0.385285619	0.041843809	0	0.063824866	0.13216109
GTEX-11TUW	0.11494809	0.617480387	0.13572703	0.066265166	0.033384918	0.001144153	0.01939603	0.011654226
GTEX-11UD2	0.200424928	0.5280519	0.033295435	0.123319549	0.079554219	0.001928937	0.003478286	0.029946746
