Mixture	NK cells	Monocytes	NKT cells	B cells	T cells CD4	T cells CD8	Dendritic cells	Megakaryocytes
GTEX-111YS	0.077954731	0.73010278	0	0.007603457	0.157761751	0	0	0.026577281
GTEX-1122O	0.049451813	0.755604204	0	0.042625253	0.136229904	0	0	0.016088826
GTEX-1128S	0.067800682	0.415684842	0.053338405	0.19557782	0	0.230144982	0	0.037453269
GTEX-113IC	0.034708195	0.391368425	0.031100198	0.074083576	0.13004651	0.322608834	0.006442916	0.009641345
GTEX-113JC	0.082845131	0.520961466	0	0.162085325	0.18505572	0.032460385	0	0.016591973
GTEX-117XS	0.036837176	0.213632913	0.097578456	0.213079409	0	0.415706798	0.004577533	0.018587715
GTEX-117YW	0.046340679	0.116919435	0.083687147	0.137845921	0	0.558202187	0.047885835	0.009118798
GTEX-1192W	0.153528817	0.321304375	0.001768645	0.225868361	0.020303287	0.203399425	0.038217614	0.035609475
GTEX-1192X	0.171891815	0.46610292	0.086663857	0.063115172	0.029200249	0.159699056	0	0.023326931
GTEX-11DXW	0.066543564	0.27093341	0	0.249628013	0.208692278	0.14877265	0.03561632	0.019813764
GTEX-11DXX	0.095513778	0.676776317	0	0.032146802	0.162586231	0	0	0.032976872
GTEX-11DXY	0.091501	0.130253189	0.133493774	0.13142726	0	0.451567932	0.038319343	0.023437502
GTEX-11DXZ	0.027617925	0.507298449	0	0.066145633	0.310365402	0.054041878	0	0.034530713
GTEX-11DYG	0.1446755	0.187890631	0.045388398	0.226452406	0	0.299863482	0.075585119	0.020144464
GTEX-11EI6	0.07959727	0.344008209	0.08282984	0.160845973	0	0.319399887	0	0.013318822
GTEX-11EM3	0.061630411	0.670766275	0	0.07432123	0.161738359	0	0	0.031543724
GTEX-11EMC	0.11201309	0.600079468	0	0.104752051	0.111503026	0.046357624	0	0.025294741
GTEX-11EQ8	0.122251038	0.481794967	0.049235299	0.208484053	0	0.10820912	0.011608379	0.018417144
GTEX-11EQ9	0.068089944	0.740936595	0	0.030477048	0.130073029	0	0	0.030423383
GTEX-11GS4	0.063854534	0.416962488	0.096078323	0.104948118	0.008300739	0.281628044	0	0.028227754
GTEX-11GSO	0.094317633	0.505294874	0.01445771	0.161218162	0	0.185690414	0	0.039021206
GTEX-11GSP	0.121883041	0.47578274	0	0.091731997	0.204086618	0.051552676	0	0.054962928
GTEX-11I78	0.095746083	0.663751967	0	0.050158464	0.184163841	0	0	0.006179645
GTEX-11LCK	0.071779202	0.730608544	0	0.074546738	0.112869533	0	0	0.010195983
GTEX-11NUK	0.088112929	0.119839214	0.017750555	0.21666341	0.088820698	0.335716739	0.115719623	0.017376832
GTEX-11NV4	0.09181807	0.089100019	0.20412839	0.124137347	0	0.467287031	0.021159803	0.002369341
GTEX-11O72	0.137359971	0.659326484	0	0.077651414	0.047518215	0.050748989	0	0.027394927
GTEX-11OC5	0.088197693	0.448589525	0.038790961	0.202480649	0.104125644	0.105038883	0	0.012776644
GTEX-11OF3	0.088312724	0.253811383	0.092037335	0.179014189	0	0.356833792	0.006830944	0.023159633
GTEX-11ONC	0.065261739	0.206741434	0.068866478	0.105012506	0	0.517945764	0.010094677	0.026077401
GTEX-11P7K	0.066269169	0.637572433	0	0.061635227	0.199173078	0	0	0.035350092
GTEX-11P81	0.06381786	0.694793114	0	0.036531863	0.194645883	0	0	0.01021128
GTEX-11P82	0.056146751	0.673901909	0	0.066085079	0.14585736	0	0	0.058008901
GTEX-11PRG	0.150655941	0.114455899	0.017106585	0.265767776	0	0.309542091	0.109724674	0.032747034
GTEX-11TT1	0.094517646	0.68844351	0	0.041853053	0.153059943	0	0	0.022125847
GTEX-11TTK	0.135949596	0.41699604	0.030618844	0.105809653	0	0.251629804	0	0.058996063
GTEX-11TUW	0.070974744	0.65876285	0	0.102922562	0.1253503	0.022536722	0	0.019452821
GTEX-11UD2	0.073289246	0.543777403	0.026698829	0.18278444	0.031398926	0.116735465	0	0.025315691
GTEX-11VI4	0.061179267	0.639248837	0	0.050680536	0.205240724	0	0	0.043650637
GTEX-11WQC	0.080008105	0.368203165	0.062308421	0.131417482	0.02743834	0.297167335	0.006612368	0.026844783
GTEX-11WQK	0.018250606	0.061561083	0.067479565	0.102936378	0.495816738	0.249716203	0	0.004239428
GTEX-11XUK	0.051621303	0.706259589	0	0.077418474	0.149533643	0	0	0.015166991
GTEX-11ZTS	0.080385858	0.120075383	0.066519586	0.206499581	0	0.413271368	0.075963218	0.037285005
GTEX-11ZTT	0.066844333	0.670567611	0	0.052295078	0.169107997	0	0	0.041184981
GTEX-11ZU8	0.108761208	0.4344411	0.014473425	0.17257607	0.018475098	0.133575071	0	0.117698028
GTEX-11ZUS	0.072086249	0.19820872	0.167627938	0.198458612	0.030078146	0.327447098	0	0.006093237
GTEX-11ZVC	0.087460685	0.584813787	0	0.138083637	0.086236774	0.078408518	0	0.0249966
GTEX-1211K	0.075362623	0.774502587	0	0.039734425	0.106406951	0	0	0.003993415
GTEX-12126	0.051434638	0.190563364	0.085464607	0.189880946	0	0.469168087	0	0.013488358
GTEX-1212Z	0.046411539	0.458649508	0.055143846	0.08637739	0.059371833	0.27147117	0	0.022574713
GTEX-12584	0.048271822	0.316710868	0.104754988	0.14343714	0	0.371811155	0	0.015014027
GTEX-12696	0.119327879	0.629917759	0	0.086844577	0.082534234	0.018007198	0.035015689	0.028352664
GTEX-1269C	0.171320324	0.426842877	0.008496179	0.142594651	0.09158754	0.116749232	0	0.042409198
GTEX-12BJ1	0.057384156	0.749909363	0	0.041845444	0.132924064	0	0	0.017936973
GTEX-12C56	0.084270696	0.672556443	0	0.058556542	0.169104135	0	0	0.015512185
GTEX-12KS4	0.055962691	0.429136585	0.047812884	0.074921086	0.143475971	0.226683488	0	0.022007295
GTEX-12WSC	0.078492308	0.128663031	0.096386696	0.158138571	0	0.513820951	0.019800221	0.004698222
GTEX-12WSD	0.02557527	0.082784041	0.142475425	0.113353859	0	0.567679889	0.04514659	0.022984927
GTEX-12WSE	0.083542557	0.435694514	0.092937615	0.210093475	0	0.15973966	0	0.017992179
GTEX-12WSF	0.249516062	0.448852792	0.011839455	0.120329707	0.005185186	0.127665403	0	0.036611395
GTEX-12WSG	0.110113705	0.502536521	0.005159748	0.095589015	0.126701512	0.11930784	0	0.040591659
GTEX-12WSH	0.18440632	0.47990782	0.024612617	0.108460415	0.067793992	0.116289522	0	0.018529314
GTEX-12WSI	0.087627402	0.22722304	0.132516024	0.159897428	0	0.371405532	0.008467134	0.01286344
GTEX-12WSJ	0.046660607	0.789470432	0	0.057054227	0.095914272	0	0	0.010900463
GTEX-12WSK	0.051276725	0.675356238	0	0.100564296	0.140445898	0	0	0.032356844
GTEX-12WSL	0.078433121	0.697180818	0	0.043133163	0.158581993	0	0	0.022670905
GTEX-12WSM	0.154024911	0.564311237	0	0.076822267	0.092688195	0.086764903	0	0.025388487
GTEX-12WSN	0.077366295	0.713203682	0	0.038112134	0.157779568	0	0	0.013538321
GTEX-12ZZW	0.105890013	0.554045942	0.003838978	0.074204153	0.021289117	0.202820829	0	0.037910968
GTEX-12ZZX	0.081907918	0.14493278	0.073094728	0.215665275	0	0.448668349	0.016290589	0.019440362
