,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
AASS,27,10,3,2,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,14,0,5,0,0,0,0,0,0,34,0,0,32,5,2,3,6,7,4,4,5,0,3,0,0,0,28,5,24,10,16,8,54,13,1,2,0,0,0,9
ABCA10,7,0,2,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,12,1,5,0,0,0,0,0,0,5,0,0,14,1,0,5,3,3,1,1,1,0,5,1,0,0,12,6,4,1,5,0,5,3,4,0,0,0,0,3
ABCC3,5,8,6,0,1,0,0,31,0,2,0,0,0,0,0,0,0,0,0,0,0,325,93,217,269,51,436,1,0,0,0,0,0,18,1,0,29,3,1,7,4,8,6,2,4,0,8,1,0,1,22,3,13,2,17,5,17,9,10,0,0,0,0,1
ABCC5,57,42,17,16,1,1,3,38,0,4,0,0,0,0,1,0,0,0,0,0,0,28,76,147,312,19,79,0,0,0,0,0,0,195,6,1,205,32,15,43,34,39,57,18,36,1,48,27,1,0,193,80,113,47,222,36,205,118,66,15,0,4,8,75
ABLIM1,823,382,285,59,5,0,0,38,0,12,0,0,0,0,0,0,0,0,0,0,0,75,19,47,83,7,33,0,0,1,0,0,0,1391,60,7,4144,452,310,481,666,683,608,249,276,10,259,192,16,2,3729,820,886,223,908,363,1096,1093,696,72,2,7,30,584
ABO,36,23,37,6,1,0,6,24,0,6,0,0,0,0,0,1,0,0,0,0,0,91,34,72,86,7,48,0,0,0,0,1,0,41,0,0,312,58,43,81,66,64,31,11,19,0,14,15,2,0,155,72,51,14,81,16,52,26,21,1,1,1,1,14
ACACB,56,30,40,6,5,0,2,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0,94,154,236,15,64,1,0,0,0,0,0,50,2,0,146,17,16,24,22,36,32,5,16,0,14,16,3,0,164,41,31,16,66,8,56,25,32,6,0,0,2,28
ACADS,52,26,39,7,8,0,6,83,0,22,0,0,0,0,0,1,0,0,0,0,0,3,127,272,388,44,195,2,0,0,0,0,0,356,6,2,319,57,27,74,52,63,58,21,54,3,85,52,7,1,248,76,116,81,253,37,319,222,83,38,2,12,7,125
ACBD6,420,271,236,41,41,3,18,272,0,52,0,0,0,0,0,5,0,0,0,0,0,10,260,687,791,82,535,2,0,0,0,2,0,839,19,9,1490,232,105,279,246,283,269,116,145,7,197,94,16,1,1397,334,499,258,759,178,801,575,343,69,3,13,17,365
ACKR4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,5,0,2,2,0,0,0,0,0,0
ACO2,513,304,300,73,52,1,31,401,0,43,0,0,0,0,1,2,0,0,0,0,0,10,307,814,918,139,820,2,0,0,0,0,0,898,17,10,957,175,104,266,172,203,242,91,164,3,209,126,16,3,878,309,478,224,842,185,869,634,320,55,2,15,21,350
ACOT7,9,3,10,3,4,2,11,45,0,19,0,0,0,0,0,1,0,0,0,0,0,48,10,31,34,0,74,0,0,0,0,0,0,226,12,13,85,26,21,60,30,27,60,20,23,2,34,32,12,1,106,54,71,41,185,36,220,195,27,40,2,26,0,58
ACTN4,418,241,261,66,34,5,30,433,0,105,0,0,0,0,3,7,0,0,0,0,0,83,705,1493,2239,183,1015,3,0,2,0,2,0,2454,68,19,363,165,147,457,85,213,388,162,299,13,544,269,21,2,406,389,984,522,2129,460,2253,1600,709,154,2,34,18,782
ADAM12,19,15,11,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,5,37,58,76,7,17,0,0,0,0,0,0,76,0,1,14,22,7,39,4,11,41,8,8,0,8,36,1,0,6,30,19,0,15,17,35,35,201,2,0,2,0,32
ADGRA3,1,1,2,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,24,2,4,0,0,0,0,0,0,18,1,1,29,1,1,1,5,2,1,2,0,0,2,0,0,0,25,5,4,2,3,4,10,29,2,0,0,0,0,0
ADGRB1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,0,0,1
ADGRV1,170,67,61,17,10,1,4,53,0,15,0,0,0,0,1,3,0,0,0,0,0,6,132,245,374,28,145,2,0,0,0,0,0,500,9,1,551,56,50,79,131,154,106,49,53,3,60,50,1,0,470,183,198,70,254,98,389,307,109,20,0,5,13,161
ADIPOR1,572,349,278,88,57,3,35,448,0,81,0,0,0,0,1,6,0,0,0,0,0,361,883,1582,2323,182,1010,5,0,4,0,0,0,1153,37,8,1327,254,144,371,260,305,414,157,225,10,297,188,17,3,1163,438,731,357,1068,280,1247,832,552,76,2,23,19,556
ADM,3,2,1,0,1,0,3,56,0,1,0,0,0,0,0,1,0,0,0,0,0,0,267,294,653,22,209,2,0,3,0,2,0,5,0,0,1,2,1,2,1,2,3,2,2,0,2,0,0,0,1,2,1,0,1,1,3,5,9,0,0,0,0,1
ADPRHL1,11,8,15,2,3,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,14,23,3,12,0,0,0,0,0,0,15,1,0,21,3,3,5,4,7,2,2,4,0,3,5,0,0,14,8,8,4,17,4,11,11,8,1,0,0,0,6
AEBP1,82,76,25,40,0,0,0,1,0,66,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,0,2,0,0,0,0,0,0,56,3,0,310,7,10,3,37,23,6,3,4,0,4,3,0,1,273,39,5,0,7,3,6,51,10,2,0,1,2,4
