,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
AASS,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ABCA10,2036,977,822,170,75,9,38,571,0,119,0,0,0,0,4,7,0,0,0,0,0,272,1420,2966,4743,314,1381,10,3,11,0,4,0,3245,67,12,4757,761,430,930,704,816,848,332,570,17,728,434,29,2,3592,1229,1937,903,3353,728,2978,2251,1447,192,2,28,43,1377
ABCC3,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ABCC5,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ABLIM1,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ABO,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ACACB,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ACADS,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ACBD6,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ACKR4,403,93,135,20,0,0,11,153,0,10,0,0,0,0,1,0,0,0,0,0,0,25,20,735,1483,94,281,0,0,0,0,0,0,324,2,1,602,170,92,267,3,15,20,30,311,0,461,98,4,1,483,214,576,154,1585,97,725,519,411,89,0,7,8,212
ACO2,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ACOT7,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ACTN4,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ADAM12,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ADGRA3,2774,1244,989,208,91,10,51,716,0,157,0,0,0,0,4,8,0,0,0,0,0,413,1762,3488,5668,365,1834,13,3,13,0,4,0,4828,109,19,6319,1012,556,1207,1034,1164,1231,513,820,23,1129,607,36,4,5056,1736,2997,1390,4876,1009,5127,3088,1998,288,2,41,64,1864
ADGRB1,286,75,41,10,9,0,3,25,0,16,0,0,0,0,0,0,0,0,0,0,0,5,15,54,154,12,69,0,0,1,0,0,0,554,24,2,463,93,33,87,40,40,66,46,176,2,332,65,2,1,545,133,578,296,866,108,899,326,201,70,0,6,10,235
ADGRV1,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ADIPOR1,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ADM,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
ADPRHL1,2972,1382,1068,235,91,10,52,764,0,166,0,0,0,0,5,14,0,0,0,1,0,448,1903,3722,6003,386,1941,13,3,18,0,6,0,5367,115,21,6895,1081,600,1273,1092,1233,1311,542,827,26,1146,662,36,4,5484,1824,3073,1399,4970,1043,5239,3174,2064,291,2,43,68,1916
AEBP1,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
AFAP1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP3,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
AGBL2,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
AGPAT4,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
AGXT,1099,517,351,80,13,1,17,278,0,61,0,0,0,0,2,6,0,0,0,1,0,145,633,1350,2170,120,530,7,1,5,0,4,0,2110,22,7,2243,330,226,439,359,479,450,159,326,8,443,227,11,1,1640,641,975,306,1473,243,1170,950,566,98,0,10,21,508
AHRR,2135,931,771,161,67,6,48,664,0,134,0,0,0,0,4,8,0,0,0,0,0,401,1741,3389,5384,349,1704,13,3,12,0,4,0,3705,79,15,4517,697,473,916,891,1008,1046,402,560,17,739,463,31,3,3725,1330,2064,741,3396,597,3294,2108,1395,192,1,22,47,1343
AJUBA,1228,405,458,96,47,4,28,409,0,70,0,0,0,0,2,7,0,0,0,0,0,192,915,2172,3597,235,1045,7,2,11,0,2,0,1703,50,10,2285,421,288,575,403,524,529,191,403,9,563,282,20,2,1923,703,1200,377,2075,304,1437,1084,785,122,1,9,21,772
AK1,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
AK4,2853,1405,1089,260,84,10,49,762,0,178,0,0,0,0,5,14,0,0,0,1,0,463,1900,3757,6091,377,2033,13,3,17,0,6,0,5113,93,21,7607,1108,612,1334,1135,1259,1328,537,698,24,908,665,36,3,5884,1863,2671,1202,4447,987,4630,3192,1975,229,3,43,66,1999
AKAP3,1225,607,557,120,49,7,20,298,0,56,0,0,0,0,2,5,0,0,0,0,0,124,758,1648,2561,164,587,5,2,1,0,2,0,1356,20,4,3117,512,237,562,484,492,551,212,242,15,290,252,12,0,2227,741,1102,568,1938,512,1842,1314,918,92,1,21,27,730
AKTIP,3139,1480,1130,270,93,10,52,787,0,194,0,0,0,0,5,14,0,0,0,1,0,468,1915,3811,6245,389,2102,13,3,18,0,6,0,5667,117,23,8070,1201,645,1421,1175,1299,1394,583,874,26,1240,730,38,4,6429,1996,3249,1498,5313,1095,5529,3518,2176,299,3,49,76,2234
