,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
AASS,40,15,5,3,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,10,16,35,2,5,0,0,0,0,0,0,32,1,0,46,6,9,10,10,7,8,0,4,0,5,9,0,0,38,8,36,14,33,10,47,23,6,2,0,0,0,11
ABCA10,17,13,6,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,6,20,33,1,1,0,0,0,0,0,0,30,0,0,20,7,5,5,5,9,5,3,5,0,7,4,0,0,25,7,13,3,12,4,22,13,7,0,0,1,0,9
ABCC3,39,14,16,2,2,0,1,24,0,7,0,0,0,0,1,0,0,0,14,0,0,507,116,494,673,128,349,0,0,0,0,0,0,32,0,0,32,10,5,6,5,8,7,1,5,0,6,6,3,0,24,7,28,7,31,1,43,14,17,2,0,1,0,13
ABCC5,115,51,35,18,9,1,2,53,0,8,0,0,0,0,2,0,0,0,7,0,0,88,74,314,573,81,114,1,0,0,0,0,0,241,5,3,182,40,35,64,41,43,44,17,37,0,61,42,9,0,218,64,164,64,209,38,291,142,114,20,2,8,3,77
ABLIM1,1153,464,328,59,9,2,1,19,0,10,0,0,0,0,0,0,0,0,2,0,0,162,16,73,75,9,25,0,0,0,0,0,0,736,35,8,3355,448,400,496,595,525,413,161,268,2,229,243,49,7,3025,610,865,217,686,238,774,590,637,89,2,24,30,368
ABO,98,52,32,15,6,0,1,26,0,20,0,0,0,0,0,0,0,0,4,0,0,240,38,136,209,20,52,1,0,0,0,0,0,62,2,0,527,123,89,136,115,122,95,18,25,0,25,61,6,1,268,88,67,27,87,17,72,42,45,12,0,1,4,31
ACACB,87,63,46,11,12,0,1,33,0,4,0,0,0,0,0,0,0,0,6,0,0,5,93,249,384,39,74,2,0,0,0,0,0,72,1,2,206,26,35,44,35,51,33,12,21,0,19,16,4,0,141,54,91,33,87,12,81,41,37,11,0,4,3,36
ACADS,121,52,54,25,41,1,10,101,0,49,0,0,0,0,0,2,0,0,13,0,0,15,168,645,1022,154,213,2,0,0,0,0,0,483,7,8,388,94,75,120,67,93,87,26,83,0,86,94,36,5,341,103,235,95,343,72,442,306,127,64,3,24,13,142
ACBD6,707,327,295,68,83,10,12,248,0,92,0,0,0,0,4,3,0,0,29,0,0,31,267,1109,1284,276,431,2,0,0,0,0,0,774,13,24,1293,245,206,298,248,245,256,99,152,2,208,167,45,4,1174,362,657,267,766,133,827,454,400,97,1,34,24,333
ACKR4,5,1,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,18,2,4,0,0,0,0,0,0,10,0,0,8,2,2,2,1,2,0,1,1,0,2,1,0,0,9,5,2,0,7,0,3,2,3,0,0,0,0,1
ACO2,912,463,387,125,157,18,16,346,0,87,0,0,0,0,5,8,0,0,34,0,0,36,374,1441,1789,367,682,7,0,0,0,0,0,889,15,17,1024,237,205,331,237,221,261,101,203,2,226,198,62,8,905,323,745,330,847,181,974,533,416,112,2,42,24,336
ACOT7,26,9,16,2,16,8,8,60,0,67,0,0,0,0,0,0,0,0,0,0,0,64,8,48,36,30,30,0,0,0,0,0,0,299,11,25,80,24,36,63,19,27,46,15,30,0,36,46,60,6,89,48,106,75,179,35,304,209,29,107,6,62,6,50
ACTN4,618,282,302,93,114,19,15,372,0,158,0,0,0,0,5,9,0,0,63,0,0,112,802,2658,4457,452,776,12,1,0,0,2,0,2416,38,32,316,174,208,457,78,152,325,150,319,8,558,333,79,14,398,315,1346,711,2199,440,2515,1463,785,180,8,96,20,785
ADAM12,19,10,8,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,4,19,49,51,8,10,1,0,0,0,0,0,32,0,0,8,10,9,35,2,2,40,15,25,1,12,24,1,0,13,20,15,4,16,7,18,43,244,0,0,2,0,38
ADGRA3,6,3,6,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,9,26,45,7,5,0,0,0,0,0,0,20,2,1,29,1,5,1,2,3,1,1,2,0,3,3,0,0,17,5,8,1,8,1,8,18,3,0,0,2,0,3
ADGRB1,6,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,21,53,5,8,1,0,0,0,0,0,2,0,0,7,3,0,3,2,2,1,0,1,0,6,2,0,0,7,4,11,4,12,0,7,4,4,1,0,0,0,3
ADGRV1,311,133,84,22,36,1,2,59,0,43,0,0,0,0,2,2,0,0,9,0,0,9,151,373,606,68,120,2,0,0,0,0,0,375,8,5,587,83,102,124,101,128,90,30,74,1,82,79,11,0,437,136,294,112,342,83,382,267,190,17,1,14,7,146
ADIPOR1,1019,457,348,100,151,14,19,382,0,148,0,0,0,0,5,10,0,1,69,0,0,799,870,2841,4266,540,895,21,1,0,0,0,0,1073,16,22,1405,338,289,453,322,331,375,141,273,6,348,269,69,8,1203,464,972,387,1194,239,1312,673,607,128,4,63,36,465
ADM,4,2,1,0,10,0,0,40,0,0,0,0,0,0,6,7,0,0,28,0,0,3,644,936,1912,186,335,10,1,0,0,0,0,2,0,0,2,0,0,1,1,2,3,1,1,0,0,1,0,0,6,3,4,0,5,1,4,3,5,0,0,0,0,2
ADPRHL1,20,8,9,2,7,0,0,8,0,6,0,0,0,0,0,0,0,0,1,0,0,0,17,32,52,6,13,0,0,0,0,0,0,19,0,0,28,4,7,7,6,6,7,1,2,0,6,5,1,0,12,10,11,7,18,2,15,6,4,1,0,1,0,2
AEBP1,177,75,27,28,3,0,0,1,0,122,0,0,0,0,0,0,0,0,0,0,0,3,1,4,6,0,1,0,0,0,0,0,0,59,0,1,277,15,18,15,35,20,7,2,2,0,1,1,1,0,237,27,8,1,4,2,2,33,20,0,0,1,4,5
AFAP1L1,2,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3,11,19,4,1,0,0,0,0,0,0,2,0,0,4,1,0,1,0,2,0,0,1,0,0,1,0,0,4,0,1,0,2,0,2,3,0,2,0,0,0,0
AGAP3,4,11,9,3,4,1,0,58,0,1,0,0,0,0,1,1,0,0,15,0,0,2,188,851,977,119,124,2,0,0,0,0,0,70,6,4,78,16,26,27,22,12,18,8,11,0,23,14,1,0,41,23,54,18,65,6,87,39,35,6,0,6,1,24
