,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
AASS,5657,2320,1615,450,268,32,27,685,0,273,0,0,0,0,17,21,0,2,107,0,0,989,1758,6972,12100,1069,1969,32,4,0,0,2,0,5896,87,56,7952,1574,996,1707,1383,1244,1295,518,1022,10,1311,1038,123,16,6166,1936,4290,1744,5737,1004,6590,3042,2379,301,13,131,99,1940
ABCA10,5657,2320,1615,450,268,32,27,685,0,273,0,0,0,0,17,21,0,2,107,0,0,989,1758,6972,12100,1069,1969,32,4,0,0,2,0,5896,87,56,7952,1574,996,1707,1383,1244,1295,518,1022,10,1311,1038,123,16,6166,1936,4290,1744,5737,1004,6590,3042,2379,301,13,131,99,1940
ABCC3,5826,2344,1632,456,280,33,30,711,0,295,0,0,0,0,18,21,0,2,111,0,0,1041,1797,7304,12655,1121,2094,32,4,0,0,2,0,6015,87,57,8031,1581,1004,1725,1397,1257,1303,519,1025,10,1319,1050,123,16,6232,1945,4310,1765,5789,1015,6667,3091,2391,305,13,140,99,1994
ABCC5,5826,2344,1632,456,280,33,30,711,0,295,0,0,0,0,18,21,0,2,111,0,0,1041,1797,7304,12655,1121,2094,32,4,0,0,2,0,6015,87,57,8031,1581,1004,1725,1397,1257,1303,519,1025,10,1319,1050,123,16,6232,1945,4310,1765,5789,1015,6667,3091,2391,305,13,140,99,1994
ABLIM1,5826,2344,1632,456,280,33,30,711,0,295,0,0,0,0,18,21,0,2,111,0,0,1041,1797,7304,12655,1121,2094,32,4,0,0,2,0,6015,87,57,8031,1581,1004,1725,1397,1257,1303,519,1025,10,1319,1050,123,16,6232,1945,4310,1765,5789,1015,6667,3091,2391,305,13,140,99,1994
ABO,5826,2344,1632,456,280,33,30,711,0,295,0,0,0,0,18,21,0,2,111,0,0,1041,1797,7304,12655,1121,2094,32,4,0,0,2,0,6015,87,57,8031,1581,1004,1725,1397,1257,1303,519,1025,10,1319,1050,123,16,6232,1945,4310,1765,5789,1015,6667,3091,2391,305,13,140,99,1994
ACACB,5826,2344,1632,456,280,33,30,711,0,295,0,0,0,0,18,21,0,2,111,0,0,1041,1797,7304,12655,1121,2094,32,4,0,0,2,0,6015,87,57,8031,1581,1004,1725,1397,1257,1303,519,1025,10,1319,1050,123,16,6232,1945,4310,1765,5789,1015,6667,3091,2391,305,13,140,99,1994
ACADS,5826,2344,1632,456,280,33,30,711,0,295,0,0,0,0,18,21,0,2,111,0,0,1041,1797,7304,12655,1121,2094,32,4,0,0,2,0,6015,87,57,8031,1581,1004,1725,1397,1257,1303,519,1025,10,1319,1050,123,16,6232,1945,4310,1765,5789,1015,6667,3091,2391,305,13,140,99,1994
ACBD6,5826,2344,1632,456,280,33,30,711,0,295,0,0,0,0,18,21,0,2,111,0,0,1041,1797,7304,12655,1121,2094,32,4,0,0,2,0,6015,87,57,8031,1581,1004,1725,1397,1257,1303,519,1025,10,1319,1050,123,16,6232,1945,4310,1765,5789,1015,6667,3091,2391,305,13,140,99,1994
ACKR4,3513,1640,1095,290,180,12,16,421,0,177,0,0,0,0,12,8,0,0,9,0,0,657,647,4105,7255,584,1146,10,0,0,0,2,0,3464,68,29,5551,1047,772,1239,764,722,816,285,618,3,585,724,68,12,4351,1368,2575,1000,2877,521,3739,1484,1599,201,5,63,76,1397
