,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
AASS,39,15,2,5,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,6,31,66,4,0,0,0,0,0,0,0,27,1,0,39,6,5,7,7,10,7,2,3,0,2,4,2,0,8,2,12,2,2,3,15,12,4,2,0,2,0,4
ABCA10,21,11,10,4,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,18,38,2,0,0,0,0,0,0,0,20,0,0,19,7,6,4,5,4,5,1,0,0,2,5,0,0,9,2,5,4,10,3,6,4,4,2,0,0,1,4
ABCC3,24,8,5,6,18,1,1,42,0,1,0,0,0,0,1,3,0,0,0,0,0,654,159,866,1221,195,402,3,0,0,0,0,0,35,0,2,77,13,15,8,14,23,10,3,5,0,10,10,5,0,19,13,18,8,34,10,21,16,2,16,2,2,1,3
ABCC5,141,54,45,20,34,10,1,45,0,2,0,0,0,0,0,0,0,0,0,0,0,95,125,676,1099,95,164,2,0,0,0,0,0,205,1,7,195,44,37,73,48,45,39,7,22,0,24,63,21,1,82,28,97,30,99,21,106,62,18,70,2,10,6,20
ABLIM1,1047,289,220,58,20,2,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,204,19,96,117,9,32,1,1,0,0,0,0,623,15,8,2664,427,417,492,499,501,342,75,116,1,80,374,135,3,875,276,418,89,288,103,346,280,110,312,25,26,35,89
ABO,86,44,51,5,13,4,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,293,49,199,303,26,45,0,0,0,0,0,0,42,2,0,507,111,103,157,63,72,73,10,18,0,14,65,19,0,136,58,36,10,31,17,35,24,13,25,5,1,8,14
ACACB,126,33,30,16,42,5,0,9,0,4,0,0,0,0,1,0,0,0,0,0,0,2,117,375,620,42,71,1,0,0,0,0,0,83,0,2,267,36,44,46,60,69,42,8,10,0,9,32,14,0,79,26,50,22,48,24,54,28,14,40,2,3,6,13
ACADS,119,47,56,13,132,29,0,64,0,9,0,0,0,0,2,6,0,0,1,0,0,14,281,1143,1949,155,229,6,0,0,0,0,0,351,1,18,348,82,69,105,56,66,52,11,52,0,45,117,63,2,113,51,153,70,186,31,192,126,22,255,17,21,16,36
ACBD6,694,224,249,58,370,64,4,102,0,21,0,0,0,0,5,2,0,0,0,0,0,23,305,1525,1976,226,363,3,0,0,0,0,0,525,6,22,1141,206,151,302,203,210,163,32,76,1,66,237,120,5,350,137,286,125,309,72,348,206,75,429,22,49,19,81
ACKR4,7,7,1,1,7,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,18,23,1,1,0,0,0,0,0,0,9,0,1,36,2,3,2,6,6,4,0,1,0,2,4,0,0,5,3,2,0,3,0,3,0,0,1,0,0,0,0
ACO2,768,303,343,125,731,104,1,153,0,29,0,0,0,0,3,8,0,0,2,0,0,51,519,1941,3105,300,482,8,0,0,0,1,0,582,3,24,751,206,148,308,130,156,165,43,76,0,91,267,130,5,329,129,368,122,402,76,364,245,67,461,33,39,22,95
ACOT7,24,8,27,3,48,37,4,19,0,20,0,0,0,0,0,0,0,0,0,0,0,113,9,93,130,19,25,0,0,0,0,0,0,229,6,32,98,49,45,89,21,36,33,7,39,0,19,104,180,5,72,28,170,55,159,19,151,95,18,620,39,58,14,25
ACTN4,553,204,299,91,420,83,3,190,0,35,0,0,0,0,10,16,0,0,2,0,0,171,1112,5091,9692,589,875,16,0,0,0,3,0,1994,14,52,351,216,179,494,62,120,188,47,133,1,216,481,241,6,305,183,736,360,1046,196,1086,714,142,784,64,84,34,212
ADAM12,14,5,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,21,34,69,4,4,0,0,0,0,0,0,32,1,0,8,15,7,54,1,4,25,2,3,0,4,48,7,0,9,5,3,2,10,4,16,12,10,0,1,3,0,5
ADGRA3,16,3,1,0,1,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,39,85,1,7,0,0,0,0,0,0,28,0,2,51,6,3,7,14,15,9,0,2,0,5,0,4,0,8,6,9,2,15,5,21,13,1,15,1,1,0,2
