,B_c01-TCL1A,B_c02-MS4A1-CD27,B_c03-CD27-AIM2,B_c04-SOX5-TNFRSF1B,B_c05-MZB1-XBP1,B_c06-MKI67,DC_c1-CLEC9A,DC_c2-CD1C,DC_c3-LAMP3,DC_c4-LILRA4,Epi-AT2,Epi-Ciliated,Epi-Secretory,Epi-Squamous,Macro_c1-C1QC,Macro_c2-CCL3L1,Macro_c3-EREG,Macro_c4-DNAJB1,Macro_c5-WDR74,Macro_c6-VCAN,Mast,Mega,Mono_c1-CD14-CCL3,Mono_c2-CD14-HLA-DPB1,Mono_c3-CD14-VCAN,Mono_c4-CD14-CD16,Mono_c5-CD16,Neu_c1-IL1B,Neu_c2-CXCR4(low),Neu_c3-CST7,Neu_c4-RSAD2,Neu_c5-GSTP1(high)OASL(low),Neu_c6-FGF23,NK_c01-FCGR3A,NK_c02-NCAM1,NK_c03-MKI67,T_CD4_c01-LEF1,T_CD4_c02-AQP3,T_CD4_c03-ITGA4,T_CD4_c04-ANXA2,T_CD4_c05-FOS,T_CD4_c06-NR4A2,T_CD4_c07-AHNAK,T_CD4_c08-GZMK-FOS_h,T_CD4_c09-GZMK-FOS_l,T_CD4_c10-IFNG,T_CD4_c11-GNLY,T_CD4_c12-FOXP3,T_CD4_c13-MKI67-CCL5_l,T_CD4_c14-MKI67-CCL5_h,T_CD8_c01-LEF1,T_CD8_c02-GPR183,T_CD8_c03-GZMK,T_CD8_c04-COTL1,T_CD8_c05-ZNF683,T_CD8_c06-TNF,T_CD8_c07-TYROBP,T_CD8_c08-IL2RB,T_CD8_c09-SLC4A10,T_CD8_c10-MKI67-GZMK,T_CD8_c11-MKI67-FOS,T_CD8_c12-MKI67-TYROBP,T_CD8_c13-HAVCR2,T_gdT_c14-TRDV2
AASS,5663,1677,1367,419,1145,156,10,481,0,69,0,0,0,0,26,32,0,0,4,0,0,1414,2303,12554,21708,1310,2322,48,1,1,0,3,0,5774,48,82,7681,1544,1049,1822,1236,1231,1088,222,404,4,543,1482,340,8,2755,1061,1899,797,2746,503,2728,1531,521,1078,92,122,93,646
ABCA10,5587,1618,1299,400,768,98,10,469,0,68,0,0,0,0,26,29,0,0,4,0,0,1168,2212,11846,20534,1267,2266,46,1,0,0,3,0,5739,47,82,7578,1525,1045,1809,1221,1219,1084,220,402,4,537,1469,337,8,2704,1050,1869,782,2708,496,2665,1502,511,1060,91,121,93,635
ABCC3,5663,1677,1367,419,1145,156,10,481,0,69,0,0,0,0,26,32,0,0,4,0,0,1414,2303,12554,21708,1310,2322,48,1,1,0,3,0,5774,48,82,7681,1544,1049,1822,1236,1231,1088,222,404,4,543,1482,340,8,2755,1061,1899,797,2746,503,2728,1531,521,1078,92,122,93,646
ABCC5,5663,1677,1367,419,1145,156,10,481,0,69,0,0,0,0,26,32,0,0,4,0,0,1414,2303,12554,21708,1310,2322,48,1,1,0,3,0,5774,48,82,7681,1544,1049,1822,1236,1231,1088,222,404,4,543,1482,340,8,2755,1061,1899,797,2746,503,2728,1531,521,1078,92,122,93,646
ABLIM1,5663,1677,1367,419,1145,156,10,481,0,69,0,0,0,0,26,32,0,0,4,0,0,1414,2303,12554,21708,1310,2322,48,1,1,0,3,0,5774,48,82,7681,1544,1049,1822,1236,1231,1088,222,404,4,543,1482,340,8,2755,1061,1899,797,2746,503,2728,1531,521,1078,92,122,93,646
ABO,5663,1677,1367,419,1145,156,10,481,0,69,0,0,0,0,26,32,0,0,4,0,0,1414,2303,12554,21708,1310,2322,48,1,1,0,3,0,5774,48,82,7681,1544,1049,1822,1236,1231,1088,222,404,4,543,1482,340,8,2755,1061,1899,797,2746,503,2728,1531,521,1078,92,122,93,646
ACACB,5663,1677,1367,419,1145,156,10,481,0,69,0,0,0,0,26,32,0,0,4,0,0,1414,2303,12554,21708,1310,2322,48,1,1,0,3,0,5774,48,82,7681,1544,1049,1822,1236,1231,1088,222,404,4,543,1482,340,8,2755,1061,1899,797,2746,503,2728,1531,521,1078,92,122,93,646
ACADS,5663,1677,1367,419,1145,156,10,481,0,69,0,0,0,0,26,32,0,0,4,0,0,1414,2303,12554,21708,1310,2322,48,1,1,0,3,0,5774,48,82,7681,1544,1049,1822,1236,1231,1088,222,404,4,543,1482,340,8,2755,1061,1899,797,2746,503,2728,1531,521,1078,92,122,93,646
ACBD6,5663,1677,1367,419,1145,156,10,481,0,69,0,0,0,0,26,32,0,0,4,0,0,1414,2303,12554,21708,1310,2322,48,1,1,0,3,0,5774,48,82,7681,1544,1049,1822,1236,1231,1088,222,404,4,543,1482,340,8,2755,1061,1899,797,2746,503,2728,1531,521,1078,92,122,93,646
ACKR4,4667,1450,1166,326,689,86,9,381,0,34,0,0,0,0,16,17,0,0,4,0,0,1117,1311,10739,19175,1068,1947,32,1,0,0,3,0,4613,40,70,6641,1337,942,1596,980,978,913,171,336,0,443,1317,312,8,2386,954,1705,710,2250,381,1992,1189,445,1029,89,92,86,475
